product_key,item_code,item_description,item_type
95,106518,MADFISH WEST AUST SHZ - 750ML,WINE
96,10666,SAUZA HORNITOS REPOSATO - 375ML,LIQUOR
97,10667,EFFEN VODKA - BLACK CHERRY - 375ML,LIQUOR
98,10668,MAKERS MARK BOURBON - 375ML,LIQUOR
99,10669,TWO JAMES JOHNNY SMOKING GUN WHISKEY - 750ML,LIQUOR
100,10675,BRINLEY GOLD SHIPWRECK SPICED RUM - 750ML,LIQUOR
101,10676,BRINLEY GOLD SHIPWRECK COCONUT RUM - 750ML,LIQUOR
102,10678,BRINLEY GOLD SHIPWRECK COCONUT RUM CREAM- 750ML,LIQUOR
103,106917,ALSACE WILLIAM CREMANT BRUT - 750ML,WINE
104,10693,TAYLOR LAKE COUNTRY RED - 3L,WINE
105,10696,FIRESTONE VARIETY - 2/12 12.OZ CAN,BEER
106,106968,ADRIANO ADAMI PROSECCO BRUT - 750ML,WINE
107,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES
108,10711,ATLAS BREW WORKS PONZI - 4/6 12.OZ CAN,BEER
109,107123,DELLA SCALA P/GRIG - 750ML,WINE
110,107352,SHO CHIKU BAI NIGORI SAKE - 375ML,WINE
111,10737,CONCANNON FOUNDERS PETITE SYRAH - 750ML,WINE
112,10738,THE WINERY AT OLNEY CHARD - 750ML,WINE
113,10740,BERINGER FOUNDERS EST P/GRIG - 750ML,WINE
114,10758,CH ST JEAN CAL MER - 750ML,WINE
115,10768,ER BOQUERON - 330ML,BEER
116,107816,HAKUSHIKA GOLD SAKE - 720ML,WINE
117,10787,HIGH WEST YIPPEE KI-YAY RYE - 750ML,LIQUOR
118,10804,CH ST JEAN CAL CAB - 750ML,WINE
119,108200,SUSANA BALBO CRIOS TORRONTES - 750ML,WINE
120,10829,WOLFFERS DRY ROSE CIDER - 12.OZ 6/4NR,BEER
121,10836,SIERRA NEVADA KELLERWEIS - 1/6K,KEGS
122,108367,DOM CAVES DE PRIEURE SANCERRE - 750ML,WINE
123,10844,HILLROCK MADIERA FINISHED RYE - 750ML,LIQUOR
124,10847,MARKHAM CAB - 750ML,WINE
125,10859,TOM GORE CHARD - 750ML,WINE
126,10860,TOM GORE CAB - 750ML,WINE
127,10861,RAVAGE CAB - 750ML,WINE
128,10862,SERPENTS BITE WHISKEY - 750ML,LIQUOR
129,108634,INDABA WESTERN CAPE CH/BLC - 750ML,WINE
130,10864,FORBIDDEN SECRET WH CHOCOLATE - 750ML,LIQUOR
131,10866,GIN MARE - 750ML,LIQUOR
132,10867,GUNPOWDER RYE - 750ML,LIQUOR
133,10869,99 SCHNAPPS - PINEAPPLE - 750ML,LIQUOR
134,108790,CARTLIDGE & BROWN CAB - 750ML,WINE
135,10898,PICCINI CHIANTI - 1.5L,WINE
136,109,WINE TOTE WOOD HANDLE 2 POCKET 4 BTL,STR_SUPPLIES
137,109053,GOLDWATER DOG POINT S/BLC - 750ML,WINE
138,10907,SAGAMORE RYE - 750ML,LIQUOR
139,10908,SLOOP BETTY VODKA - HONEY - 750ML,LIQUOR
140,10930,LAPHROAIG LORE SCOTCH - 750ML,LIQUOR
141,10931,FOUNDERS ALL DAY 1/15PK 12OZ CAN,BEER
142,10932,FOUNDERS ALL DAY - 4/6,BEER
143,10934,FOUNDERS CENTENNIAL - 4/6,BEER
144,10936,FOUNDERS DIRTY BASTARD - 4/6,BEER
145,10940,FOUNDERS PORTER - 4/6,BEER
146,10946,FOUNDERS NITRO RUBAEUS - 1/2K,KEGS
147,109525,BOUDIN CHAB - 750ML,WINE
148,10953,FOUNDERS ALL DAY - 1/2K,KEGS
149,10959,OLD LINE SINGLE MALT WHISKEY - 750ML,LIQUOR
150,10979,J LOHR RIVERSTONE CHARD - 1.5L,WINE
151,109924,HILLINGER ZWEIGELT - 750ML,WINE
152,10994,ABITA BIG EASY IPA - 12.OZ 4/6,BEER
153,10997,FOUNDERS KENTUCKY BREAKFAST STOUT - 6/4,BEER
154,110,WINE BOTTLE TOTE 6 BTL HEAVY DUTY,STR_SUPPLIES
155,110000,SEAGRAM'S GIN - EXTRA DRY - 100ML,LIQUOR
156,11002,ANCIENT AGE BOURBON - 1.75L,LIQUOR
157,110132,R MONDAVI PRIVATE SEL CAB - 375ML,WINE
158,11014,LAGUNITAS LUCKY 13 - 12.OZ 4/6 NR,BEER
159,11019,CHLOE PROSECCO - 750ML,WINE
160,11029,EZRA BROOKS BOURBON - 1.75L,LIQUOR
161,110345,LUIGI EINAUDI DOLCE DOGLIANI - 750ML,WINE
